Name,Category,Subcategory,Platforms,Function,Radio Interaction,License,Notes
Xiegu firmware/config tools (XigFW / G-series updater),Programming / Codeplug,Programming/Codeplug (firmware),Windows,Firmware update and configuration for Xiegu G90/X6100/X6200/G106 transceivers,USB firmware flashing + configuration,Free,Manufacturer flagged in the critic prompt; the similar Lab599 TX-500 updater is analogous
Yaesu ADMS (factory series),Programming / Codeplug,Programming/Codeplug,Windows,"Yaesu factory memory/codeplug programming software (ADMS-7, ADMS-11, ADMS-14, ADMS-M400, ADMS-991, etc.), one per radio.",USB/serial clone read/write of memory channels and set-menu settings using SCU-/CT- factory cables.,Free (Yaesu download for most current models),Naming overlaps with RT Systems ADMS titles; some Yaesu ADMS downloads are RT-Systems-built OEM versions.
Airspy SpyServer,Rig control core / Remote,SDR (remote server),Windows / Linux / macOS / Raspberry Pi,Network IQ-streaming server so a remote SDR# / SDR++ client can use the radio,Controls the local Airspy/RTL-SDR hardware and streams tuned IQ over the network,Freeware,The standard way to put an Airspy or RTL-SDR on the LAN/Internet for thin clients.
AOR control software (ARC/AR-family),Rig control core / Remote,Rig control core (receiver),Windows,"PC control of AOR wideband receivers (AR-DV1, AR5001D, AR2300, etc.)",serial/USB CAT control,Commercial/Free (model dependent),Manufacturer receiver-control suite not in the list
ARSVCOM,Rig control core / Remote,Rig control core (rotator),Windows,Control Yaesu/Kenpro rotators via an ARS interface with satellite/moon tracking,serial rotator control,Free,EB4EQA; EA4TX ARS ecosystem
CalicoCAT,Rig control core / Remote,Rig control core,Windows,Serial CAT-control plugin for SDR# (SDRSharp) enabling it to control an external transceiver.,Sends CAT frequency/mode commands over a serial/virtual port to the connected radio synced with SDR#'s tuning.,Free (open-source),Adds transceiver rig-sync to the otherwise receive-only SDR# app.
Cloud-SDR / CloudIQ software,Rig control core / Remote,SDR (remote),Windows,Remote-streaming client/server for RFSpace CloudIQ / Cloud-IQ,Controls the RFSpace networked SDR and streams IQ over the Internet,Freeware / commercial,RFSpace's remote-SDR ecosystem.
Commander (DXLab),Rig control core / Remote,Rig control core,Windows,Standalone CAT rig-control engine used by DXLab and 3rd-party software,"CAT rig control (freq/mode/split), PTT keying, band data",Free,Can drive the radio for many logging/digital apps.
DDUtil,Rig control core / Remote,Rig control core,Windows,"Band-data decoder and CAT router for FlexRadio/PowerSDR stations, controlling amplifiers, tuners, antenna switches and providing shared CAT ports.",Reads the radio's CAT/band data (PowerSDR CAT or serial) and re-shares it to multiple apps via virtual serial ports/OmniRig.,Free (donationware),By Steve Nance K5FR; the classic Flex accessory-automation hub.
DXLab Commander,Rig control core / Remote,Rig control core,Windows,"Free CAT controller for up to 4 Icom, Ten-Tec, Kenwood, Yaesu, Elecraft, FlexRadio, Alinco or Kachina transceivers; member of the DXLab Suite.",CAT/CI-V serial control of frequency/mode/split/PTT; SpotCollector and other DXLab apps tune the radio through Commander.,Free,By Dave Bernstein AA6YQ; acts as the CAT hub for the DXLab ecosystem.
EA4TX ARSWIN / ARS-USB software,Rig control core / Remote,Rig control core (rotator),Windows,Control antenna rotators (Yaesu/Kenpro/Daiwa/Prosistel/HAM-IV/T2X) via the ARS-USB interface,serial/USB rotator control; DDE to loggers,Free,Rotator control in the same scope as the listed PstRotator/rotctld
flrig,Rig control core / Remote,Rig control core,Windows / macOS / Linux / Raspberry Pi,Graphical rig-control front end (part of the fldigi suite) that displays and sets all radio parameters and acts as a CAT server/broker for other programs.,"Connects to the radio's CAT port; exposes an XML-RPC server (port 12345) and Hamlib-style access so fldigi, WSJT-X and others share control; keys PTT.",Open-source (GPL),By Dave Freese W1HKJ; widely used as the CAT broker behind fldigi and as a standalone panel.
FRStack,Rig control core / Remote,Remote operation,Windows,"FlexRadio automation/station-control utility exposing rig control, band/antenna macros and a REST/HTTP interface for the Flex 6000/8000.","Uses the SmartSDR TCP API to read/set slice frequency, mode, TX and keying, and to automate accessories.",Free / Donationware,Popular Flex 'glue' tool for external automation and web control.
FT-817 Commander,Rig control core / Remote,Rig control core,Windows,Legacy dedicated CAT control panel for the Yaesu FT-817/857/897 family.,CAT serial control of frequency/mode/PTT on FT-8x7 radios.,Free (legacy),Early HB9DRV-era utility still used by FT-817 owners.
Green Heron Everyware,Rig control core / Remote,Rig control core (rotator),Windows,Control Green Heron RT-21/RT-20 rotator controllers over network or serial,rotator control (serial/UDP),Free,
Grig,Rig control core / Remote,Rig control core,Linux / macOS,Simple graphical Hamlib front end providing a virtual radio front panel.,"Uses Hamlib to set/read frequency, mode and PTT over CAT.",Open-source (GPL),By Alexandru Csete OZ9AEC; lightweight demonstrator of Hamlib rig control.
Ham Radio Deluxe (HRD Rig Control + Remote),Rig control core / Remote,Rig control core,Windows,"Suite whose Rig Control module offers deep CAT control of Icom/Kenwood/Yaesu/Elecraft/Ten-Tec radios, with a remote-operation server/client.",CAT/CI-V serial control aiming to expose every programmable command; HRD Remote streams control (and audio via companion tools) over IP.,Commercial (legacy 5.x freeware),Originally by Simon Brown HB9DRV; now a commercial product; DM780 handles digital modes.
HamClock,Rig control core / Remote,Dashboard with rig control,Linux / Raspberry Pi / macOS / Windows / Web,"Ham operating dashboard (clocks, propagation, DX) that can display and set the connected rig's frequency and mode",CAT rig control via Hamlib rigctld (reads/sets frequency and mode),Free (donationware),By Elwood Downey WB0OEW; the rig-link feature is what qualifies it beyond a pure reference tool.
Hamlib (rigctl / rigctld / rigctlcom),Rig control core / Remote,Rig control core,Windows / macOS / Linux / Raspberry Pi / Android (library),Universal rig/rotator control library exposing a common API and a network daemon (rigctld) that virtually every Linux/open-source ham app uses to control a radio; supports 200+ transceivers.,"CAT/CI-V serial and network control of frequency/mode/PTT; rigctld TCP server (port 4532) drives radios for WSJT-X, fldigi, CQRLOG, Gpredict, etc.; rigctlcom emulates a Kenwood radio to bridge apps.",Open-source (LGPL/GPL),The de facto CAT backbone of open-source ham software; rotctl/rotctld sibling handles rotators.
Hamlib (rigctl / rigctld),Rig control core / Remote,Rig control core,Linux / Windows / macOS / Raspberry Pi / Android (Termux),"Common CAT rig-control library, CLI and network daemon supporting hundreds of transceiver models",CAT/CI-V rig control (frequency/mode/PTT) over serial/USB/network; exposes rigctld TCP 4532 for other apps,Open-source (LGPL/GPL),"The control backbone under Pat, HamClock, WSJT-X, Fldigi and many others; runs on Android via Termux."
Hamlib / rigctld,Rig control core / Remote,Rig control core,Windows / Linux / macOS,Universal rig-control library and network daemon,"Provides CAT/PTT control of hundreds of transceivers; the tuning backend used by Gqrx, SDRangel, SDR++, wfview and Gpredict Doppler control",Open-source (LGPL/GPL),The cross-platform equivalent role to OmniRig; nearly every Linux SDR app links it.
IC7100BKT / CatBkt (BktSoftware),Rig control core / Remote,Rig control core,Windows (Android variants),"Rig-control programs (IC7100BKT for the Icom IC-7100; CatBkt as a general CAT controller) with sked management, cluster tuning, PTT and tuner control and audio recording.",CI-V/CAT serial control of frequency/mode/PTT and tuner; direct-frequency input from cluster programs.,Donationware (free limited + donation full),By Maurizio Vinci IZ2BKT (BktSoftware / maniaradio.it).
Icom RS-BA1,Rig control core / Remote,Remote operation,Windows,Icom IP remote-control software for compatible transceivers,CI-V rig control plus audio over IP and PTT,Commercial,Icom's factory remote package.
Icom RS-BA1 (Version 2),Rig control core / Remote,Remote operation,Windows,Icom's IP remote-control software providing a full radio front panel with spectrum scope over LAN/Internet.,CI-V control plus digital audio over IP to compatible Icom transceivers (with RS-BA1 server/Remote Utility).,Commercial (Icom),Works with IC-7300/7610/9700/705 and older rigs via CI-V interface.
Icom RS-R8600,Rig control core / Remote,Remote operation / rig control (receiver),Windows,Remote-control software for the IC-R8600 wideband communications receiver,USB/LAN CI-V remote control + spectrum scope,Free,Icom; CS-R8600 is the separate cloning/programming tool
jAReC,Rig control core / Remote,Remote operation,Windows / macOS / Linux / Raspberry Pi,"Java 'Amateur Radio Control' app that acts as both a remote-control server and client for CAT-enabled transceivers, with audio.",Connects to the rig via serial/USB/Bluetooth/network for CAT + bidirectional audio; serves control to remote clients like PocketRxTx.,Free (freeware),Companion server to PocketRxTx by YO3GGX; cross-platform via Java.
K3NG Rotator Controller,Rig control core / Remote,"Rig control core (rotator, firmware + host)",Arduino firmware + any host (rotctld/PstRotator/N1MM),Open-source Arduino azimuth/elevation rotator controller speaking Yaesu GS-232 and EasyComm protocols,serial rotator protocol,Open-source,Anthony Good K3NG; rotator analog of his listed K3NG CW keyer
K4-Control,Rig control core / Remote,Rig control (iOS),iOS / iPadOS,Comprehensive local and remote-over-internet control of the Elecraft K4 transceiver,"Network/serial CAT control of the K4 (frequency, mode, panadapter, functions)",Commercial,By Roskosch; dedicated Elecraft K4 front-panel-on-a-phone app.
Kenwood ARCP / ARHP / ARVP suite,Rig control core / Remote,Remote operation,Windows,"Kenwood's free Amateur Radio Control Program (ARCP-990/590/2000), Host Program (ARHP) and VoIP Program (ARVP) for local and networked control.",CAT control of Kenwood transceivers; ARHP hosts the rig on a network and ARVP carries the audio for remote operation.,Free (Kenwood),Manufacturer software for TS-590/TS-990/TS-2000 and similar.
Kenwood ARCP / ARHP series,Rig control core / Remote,Rig control core,Windows,Kenwood factory radio-control panels (ARCP-590/990/2000) and host programs (ARHP),"CAT rig control (freq/mode/menus), PTT; ARHP enables LAN remote",Free,Free downloads from Kenwood for supported rigs.
KX3 Companion,Rig control core / Remote,Remote operation / rig control (mobile),Android,Android remote control and logging for the Elecraft KX3,CAT over serial/Bluetooth,Commercial/Free,Phone-based control app for an Elecraft radio; complements the listed KX3/K3 Utility
LP-Bridge,Rig control core / Remote,Rig control core,Windows,"CAT-sharing bridge for the Elecraft K3 that multiplexes one radio port to several applications (logger, panadapter, skimmer).","Talks to the K3 CAT port and re-exposes multiple virtual K3 ports, keeping frequency/mode in sync across apps.",Free (freeware),By Larry Phipps N8LP (LP-PAN maker); commonly paired with NaP3 + CW Skimmer.
microHAM USB Device Router,Rig control core / Remote,Rig control core,Windows / macOS,"Configuration and routing software for microHAM interfaces (microKEYER, DIGI KEYER, u2R, etc.) that manages CAT, PTT, CW/FSK keying and virtual ports.","Routes CAT to/from the radio, keys PTT and CW/FSK, and creates virtual COM ports so logging/digital apps reach the rig through microHAM hardware.",Free (with microHAM hardware),Essential glue for microHAM interface owners.
N4PY,Rig control core / Remote,Rig control core,Windows,"Rig control software for Ten-Tec, Elecraft, Icom and other radios","CAT rig control, with virtual ports to share the rig with logging/digital software",Commercial,By N4PY (Carl Moreschi).
N4PY Rig Control,Rig control core / Remote,Rig control core,Windows,"Feature-rich rig control for Elecraft K3/K4, Icom, Ten-Tec, Flex and many receivers, integrating panadapters, WinKeyer, TMATE2/FlexControl knobs, amps and autotuners.",CAT/CI-V serial control; drives external panadapter programs and hardware controllers alongside the radio.,"Commercial (paid, free trial)","By Carl Moreschi N4PY; noted for deep hardware integration (TMATE2, FlexControl, Behringer)."
NaP3,Rig control core / Remote,Panadapter,Windows,Panadapter/waterfall display software (PowerSDR-derived) for the Elecraft K3 and IF/IQ SDRs like LP-PAN and SDRplay.,"Displays radio IF/IQ spectrum and controls the K3 VFOs, filters, bands and modes via CAT while clicking on the panadapter.",Free (freeware),Classic K3 + LP-PAN panadapter; often chained with LP-Bridge and CW Skimmer.
OmniRig,Rig control core / Remote,Rig control core,Windows,CAT rig-control COM engine shared by many SDR apps,"Provides CAT tuning/PTT control of a conventional transceiver to SDR#, HDSDR, SDRuno, NaP3, etc. so the SDR panadapter and rig stay in sync",Freeware,Alex Shovkoplyas VE3NEA; the standard CAT bridge on Windows SDR panadapters.
OmniRig (v1 & v2),Rig control core / Remote,Rig control core,Windows,Shared COM-object CAT engine that lets multiple Windows apps control the same transceiver simultaneously through one serial connection.,"CAT/CI-V serial control of frequency/mode/PTT; acts as a broker so HDSDR, SDR Console, logging and digital apps share the rig's COM port.",Free (freeware),By Alex Shovkoplyas VE3NEA; OmniRig v2 adds more rigs and features; ini-file rig definitions are user-editable.
PocketRxTx,Rig control core / Remote,Remote operation,Android,"Multimode Android transceiver-control app with waterfall/spectrum, memories, and WebSDR client mode.","Direct CAT/CI-V over Bluetooth, USB-OTG or network to Yaesu/Kenwood/Icom/Elecraft rigs; controls mode/band/VFO/PTT/ATU and can use a jAReC server for audio.","Commercial (paid, free demo)",By Dan Toma YO3GGX; a leading Android CAT app.
RCForb Client (RemoteHams),Rig control core / Remote,Remote operation,Windows,"Free client for the RemoteHams network that operates shared/remote stations with rig control, audio and a bandmap.",Sends CAT commands and streams TX/RX audio and PTT to a remote radio via the RCForb Server over the Internet.,Free,Part of the RemoteHams.com community remote-station platform.
RCForb Server (RemoteHams),Rig control core / Remote,Remote operation,Windows,Server that publishes a local station to the RemoteHams network for remote operation.,"Connects to the radio's CAT port and sound card, keys PTT, and relays control/audio to RCForb clients.",Free,The station-host half of RemoteHams; supports many rigs via built-in CAT and Hamlib/OmniRig.
Remote Ham Radio (RHR),Rig control core / Remote,Remote operation,Web / Windows / iOS / Android,"Commercial shared-station service giving members web-console access to big remote stations with waterfall panadapter, filters and audio.",Browser/app console sends CAT tuning and PTT and streams audio to professionally hosted remote transceivers.,Commercial (credits/subscription),remotehamradio.com; access to high-power multi-antenna sites.
RemoteHams RCForb,Rig control core / Remote,Remote operation,Windows (client also web/Android),Remote-radio network client/server for sharing/operating rigs online,CAT rig control plus audio over IP and PTT to a networked transceiver,Free,RCForb Server shares a rig; RCForb Client operates it remotely.
RemoteRig / RRC-Nano,Rig control core / Remote,Remote operation,Android (RRC-Nano app); hardware boxes,Low-latency remote-control system (RRC-1258 boxes) with the RRC-Nano app acting as a software radio-control unit for the remote base.,"Transports serial CAT, PTT and audio between control and radio ends; RRC-Nano provides CAT control and audio to the remote rig over IP.",Commercial,By Microbit; popular for Elecraft K3/KX3 'twin' remote setups.
RemoteTX,Rig control core / Remote,Remote operation,Web / Android / iOS (server: Raspberry Pi),Subscription remote-control platform for Icom/Yaesu radios using a Raspberry Pi at the station and browser/app clients.,"Pi connects to the rig's CAT/USB and audio; clients tune, key PTT and pass audio over the Internet.",Commercial (subscription),"Supports IC-7100/7200/7300/7610, FT-991A and others."
rig-remote,Rig control core / Remote,Rig control core,Windows / Linux / macOS,"Lightweight Hamlib rigctld GUI for frequency scanning, bookmarks and control",TCP to rigctld (CAT),Open-source,
RigPi Station Server,Rig control core / Remote,Remote operation,Web / Raspberry Pi,"Raspberry Pi web-server appliance (MFJ) for remote operation of almost any radio from a browser, including CW keyer and logging.","Uses Hamlib to control the rig's CAT port, keys PTT/CW, and streams audio for remote web clients.",Commercial (MFJ product; open-source components),By Howard Nurse W6HN; browser-based control from phone/tablet/PC.
SDR-Control Mobile,Rig control core / Remote,Remote operation,iOS (iPhone),"iPhone edition giving complete local/remote operation of Icom IC-705/7300Mk2/7610/9700/7760 with waterfall, FT8/FT4, CW/SSTV and logging.","CI-V control plus audio/PTT over USB/WLAN or Internet to the Icom transceiver, no extra hardware needed.",Commercial (paid app),By Marcus Roskosch DL3MRE; actively updated (2026).
SmartSDR for iOS,Rig control core / Remote,Remote operation,iOS / iPadOS,Third-party iOS/iPad client for FlexRadio 6000/8000 SDR transceivers with panadapter and full control.,"Uses the Flex SmartSDR TCP API and SmartLink to control slices, tune, key PTT and stream audio, locally or remotely.",Commercial (paid app),By Marcus Roskosch DL3MRE; the popular mobile Flex client.
SoapySDR / SoapyRemote,Rig control core / Remote,SDR (abstraction/remote),Windows / Linux / macOS,Vendor-neutral SDR hardware abstraction layer plus a network remoting server,Presents a common API to tune/control virtually any SDR; SoapyRemote controls a device on another host over the network,Open-source (Boost),"The plumbing under CubicSDR, SDRangel, SDR++ and many others."
TMATE2 controller software,Rig control core / Remote,Rig control core,Windows,"Driver/integration for the Woodbox Radio TMATE and TMATE2 USB tuning-knob controllers (3 knobs, keys, display) used to control radios and panadapter software.","USB knob sends tuning/mode/PTT commands that host software (N4PY, NaP3, PowerSDR) translates into CAT control of the rig.",Free driver (commercial hardware),"Hardware tuning knob; software support is built into N4PY, NaP3 and others."
TRX-Manager,Rig control core / Remote,Rig control core,Windows,"CAT control, logging and DX program controlling ~150 transceivers plus rotators, wattmeters and antennas locally or remotely.",CAT/CI-V serial control of the rig; can operate rigs remotely and share control with other software.,Commercial (shareware),By Laurent Labourie F6DEX; long-established all-in-one station controller.
TS-Control,Rig control core / Remote,Rig control (iOS),iOS / iPadOS,Remote and local control of Kenwood TS-890 / TS-990 transceivers from a phone or tablet,Network/serial CAT control of the Kenwood rig,Commercial,By Roskosch; Kenwood counterpart to his Icom/Flex/Elecraft control apps.
W4MQ Internet Remote Base,Rig control core / Remote,Remote operation,Windows,Legacy Internet remote-base software (server + client) that pioneered web-connected remote HF operation.,Server controls the rig's CAT port and audio; clients send tuning/PTT and receive audio over IP.,Free (legacy),By Stan Schretter W4MQ; conceptual predecessor to modern remote platforms.
Waterfall Bandmap,Rig control core / Remote,Panadapter,Windows,"Panadapter/bandmap that shows spectrum from any IQ SDR or IF output and overlays DX-cluster spots, working with almost any transceiver.",Reads rig frequency via CAT and tunes the radio by clicking spots on the waterfall; uses SDR/IF I/Q for the display.,Free (freeware),By David AF9GL; turns any radio into a click-to-tune panadapter.
wfview,Rig control core / Remote,Remote operation,Windows / macOS / Linux / Raspberry Pi,Open-source control app for modern Icom (plus Kenwood/Yaesu) radios with full spectrum scope/waterfall and network remote to another wfview instance.,CI-V/CAT control locally or over LAN/Internet; streams audio; can emulate a Hamlib rigctld server so other apps reach the rig.,Open-source (GPL),By Elliott Liggett W6EL & Roeland Jansen PA3RVL; popular free alternative to RS-BA1.
Win4Icom / Win4Yaesu / Win4K3-K4 Suite,Rig control core / Remote,Rig control core,Windows,Full rig control with panadapter/SDR integration and virtual COM ports to feed loggers,"CAT rig control (CI-V for Icom, CAT for Yaesu/Elecraft), PTT, band data; provides virtual radios to N1MM+/HRD/DXLab/Log4OM",Commercial,By VA2FSQ (Tom Blahovici).
Win4K3Suite / Win4IcomSuite / Win4YaesuSuite,Rig control core / Remote,Rig control core,Windows,"Commercial control suites for Elecraft (K4/K3/K3S/KX3/KX2), Icom and Yaesu radios with built-in panadapter (LP-PAN/SDRplay) and an HRD-compatible server.","CAT/CI-V control of the rig, integrated SDR panadapter display, and a server interface so loggers/digital apps read frequency/band/mode.",Commercial (paid),By Tom Blahovici VA2FSQ; three-radio-family editions with SDR panadapter support.
Yaesu SCU-LAN10,Rig control core / Remote,Remote operation,Windows / iOS / Android,Yaesu network remote-control software for FTDX/FT-DX radios,CAT rig control plus audio over LAN and PTT via the SCU-LAN10 interface,Free (with hardware),Requires the SCU-LAN10 hardware bridge.
Yaesu SCU-LAN10 Network Remote,Rig control core / Remote,Remote operation,Windows,Yaesu remote-control application paired with the SCU-LAN10 interface for Ethernet/Internet operation of recent Yaesu rigs.,Sends CAT commands and streams audio/PTT to FTDX101/FTDX10/FT-710 through the SCU-LAN10 hardware.,Free software (requires SCU-LAN10 hardware),Manufacturer network remote solution for Yaesu HF radios.
AMSATDroid Free,Satellite / EME,"Satellite tracking (Android, Doppler display)",Android,"G4DPZ pass predictor showing next passes, compass/map views, and Doppler-corrected frequencies.",No direct CAT; computes Doppler-corrected RX/TX frequencies for manual tuning.,Free / Open-source,Long-standing AMSAT Android staple; recently open-sourced. Borderline (prediction-only) but a canonical sat app.
CALSAT32 (Calsat),Satellite / EME,Satellite/Doppler (rig + rotor control),Windows,JR1HUO satellite tracking program with automatic Doppler and antenna control.,CAT rig control (Icom CI-V and others) for Doppler tuning plus rotator control.,Free,Widely used in Japan for LEO sat operation.
CardSat,Satellite / EME,"Satellite/Doppler (embedded handheld, CAT)",Embedded (M5Stack Cardputer ADV),Self-contained handheld satellite tracker firmware with pass prediction.,CAT Doppler control to a connected radio.,Open-source (Free),Portable hardware tracker that keys a rig via CAT.
FoxTelem,Satellite / EME,Satellite telemetry decode (audio + rig control),"Windows, macOS, Linux, Raspberry Pi","AMSAT telemetry analysis tool decoding Fox-1, HuskySat, GOLF and similar FEC/DUV/BPSK downlinks.",Takes sound-card audio from a receiver; newer builds can command an SDR/Hamlib rig for signal-finding and Doppler.,"Open-source (AMSAT, GPL)",Primarily an audio telemetry decoder that uploads to AMSAT.
gp2icom,Satellite / EME,Satellite Doppler bridge (Gpredict → Icom),"Windows, Linux",Bridge utility that relays Gpredict Doppler frequencies to an Icom radio.,Sends CI-V CAT commands to set the Icom RX/TX frequency for Doppler.,Open-source,Helper for Icom rigs lacking direct Hamlib satellite support.
Gpredict,Satellite / EME,Satellite/Doppler (rig + rotor control),"Linux, Windows, macOS, Raspberry Pi",Real-time multi-satellite tracking and orbit prediction with automatic Doppler tuning and rotor pointing.,Talks to Hamlib rigctld over TCP to set radio frequency for Doppler (and rotctld for rotors); tunes real rigs and SDR receivers.,Open-source (GPL),The standard free/Linux choice; forks like gpredict-improved add built-in Hamlib Doppler and SDR/HackRF support.
gr-satellites,Satellite / EME,Satellite telemetry decode (SDR + Doppler),"Linux, Windows, macOS (GNU Radio)",EA4GPZ GNU Radio out-of-tree module decoding telemetry from a large catalog of cubesats/amateur sats.,Ingests SDR I-Q with Doppler correction blocks; drives the SDR receive chain.,Open-source (GPL),Reference decoder framework for many amateur satellites.
GridTracker (GridTrackerSat),Satellite / EME,Satellite + logging companion (rig CAT),"Windows, macOS, Linux",Mapping/logging companion to WSJT-X that adds a satellite tracking/pass mode and station automation.,Hamlib CAT rig control (frequency/mode); works alongside WSJT-X audio; satellite Doppler/pass overlay.,Free / Open-source,Popular WSJT-X sidecar; satellite features branded GridTrackerSat.
Ham Radio Deluxe Satellite Tracking,Satellite / EME,Satellite/Doppler (rig control),Windows,Satellite tracker within the HRD suite with automatic Doppler-shift calculation for transponders.,Uses HRD Rig Control (CAT over serial/USB) to retune the radio for Doppler.,Commercial,Integrated with HRD logging and rig control.
Ham Satting,Satellite / EME,Satellite/Doppler (rig control + logging),"Windows, macOS, Linux, Android, iOS","Multi-platform all-in-one satellite app with real-time visualization, pass prediction, and QSO logging.",Rig control / Doppler tuning via CAT or network (rigctld) integration.,Freemium / Commercial,"Cross-platform, including mobile."
Hamlib (rigctld / rotctld),Satellite / EME,CAT/rotor control engine for Doppler,"Windows, macOS, Linux, Raspberry Pi",Library and network daemons that provide the rig- and rotor-control layer used by satellite/EME trackers to apply Doppler.,Directly sets radio frequency/mode over serial/USB/CI-V and keys PTT; controls rotators — the conduit Gpredict/SatDump/SatNOGS use.,Open-source (LGPL),Not a tracker itself but the actual Doppler CAT mechanism for most Linux/free tools.
HamSat,Satellite / EME,"Satellite/Doppler (iOS, rig control)",iOS,iPhone/iPad satellite tracker with a full-screen in-pass display showing a Doppler-corrected RX/TX dial.,"CAT control of a radio (e.g., Bluetooth to IC-705 or network rigctld) for Doppler tuning.",Commercial (App Store),iOS in-pass operating aid.
InstantTrack,Satellite / EME,"Satellite/Doppler (rig + rotor control, legacy)",DOS (legacy),Classic AMSAT real-time satellite tracker and predictor.,"Rig control and rotor control via external interfaces (Kansas City Tracker, PacComm, etc.) for Doppler and pointing.","Commercial (AMSAT, legacy)",Historic standard still run under DOSBox by some operators.
iridium-toolkit / gr-iridium,Satellite / EME,Satellite/EME (Iridium decoder),Linux,Capture and decode Iridium satellite frames and messages,SDR (Airspy/HackRF/USRP) at L-band,Open-source,"Utility satellite monitoring, same scope as the listed SatDump/dump1090"
KlaTrack,Satellite / EME,Satellite/Doppler (rig + rotor control),"Windows, macOS, Linux",Cross-platform satellite tracker with elevation/time plots and station control.,Rig CAT control and rotator control during passes.,Free,Cross-platform alternative tracker.
Look4Sat,Satellite / EME,"Satellite/Doppler (Android, network rig control)",Android,Open-source amateur/weather satellite tracker and pass predictor that displays Doppler-corrected frequencies.,"Network rig control (rigctld / Gpredict-compatible TCP) to Doppler-tune a rig, plus rotator control over TCP.",Open-source (GPL),Uses Celestrak TLEs and the SatNOGS transmitter database; the notable Doppler-aware Android app.
MacDoppler,Satellite / EME,Satellite/Doppler (rig + rotator control),macOS,Satellite tracking with any level of automation from assisted Doppler tuning and antenna pointing up to a fully automated sat gateway.,"CAT rig control (serial/USB/network) for Doppler RX/TX and PTT, plus rotator control.",Commercial (Dog Park Software),Premier Mac satellite app; successor to MacDopplerPRO.
MacDopplerPRO,Satellite / EME,Satellite/Doppler (rig + rotator control),macOS (legacy),Older PRO-generation Mac satellite tracker with Doppler tuning and antenna pointing.,CAT rig control + rotator control.,"Commercial (legacy, Dog Park Software)",Superseded by the current MacDoppler; still referenced on older installs.
MoonSked,Satellite / EME,"EME (moon tracking, rotor + rig)","macOS, Windows, Linux",GM4JJJ EME scheduling and moon-tracking program with Doppler/degradation info and sked planning.,Rotator control to point at the Moon; can drive supported rigs and shows Doppler for manual/auto tuning.,Shareware/Commercial,Classic moonbounce planning tool.
Nova for Windows,Satellite / EME,Satellite/Doppler (rig + rotor control),Windows,Satellite tracking and pass prediction with rig and rotator control.,CAT rig control and rotor control (also usable as a DDE tracking source for SDR software).,Commercial (Northern Lights Software),Long-standing classic tracker.
Orbitron,Satellite / EME,Satellite/Doppler (rig/SDR control via DDE),Windows,Popular free real-time satellite tracker and pass predictor that feeds Doppler-corrected frequencies to radios and SDR apps.,Exports RX/TX frequency via DDE (MyDDE / WispDDE driver) to a CAT rig-control driver or to SDR#/SDRuno for Doppler correction.,Free (donationware),Needs an external DDE driver/plugin to actually key CAT; ubiquitous as the tracking front-end for SDR Doppler.
OscarWatch-Tracker,Satellite / EME,Satellite/Doppler (rig + rotor control),"Windows, macOS, Linux",AMSAT-oriented tracker that predicts passes and computes Doppler-corrected uplink/downlink frequencies.,Drives the rotator and CAT-controls the radio for Doppler during a pass.,Free,Cross-platform spacecraft tracker.
PREDICT,Satellite / EME,Satellite tracking (rotor + Doppler server),"Linux, Unix, Raspberry Pi",KD2BD classic text/curses satellite tracker and pass predictor with a network server mode.,EasyComm rotor control and a UDP/socket Doppler server that feeds rig-control clients/scripts.,Open-source (GPL),Long-lived Linux tracker; companion utilities do the actual CAT tuning.
PstRotator,Satellite / EME,Satellite + EME (rig Doppler + rotator control),Windows,Antenna rotator controller with a satellite mode (Doppler on RX/TX) and a dedicated EME/moon-tracking window.,CAT rig control for Doppler tuning (reads the SatPC32 Doppler.SQF file) and rotor control; EME moon azimuth/elevation and Doppler.,Commercial (YO3DMU),Bridges DDE from trackers; widely used for both LEO sats and moonbounce.
raspberry-noaa v2,Satellite / EME,Satellite (weather-sat station),Raspberry Pi / Linux,"Automated NOAA/Meteor satellite capture, decode and scheduling on a Raspberry Pi",RTL-SDR + scheduled rtl_fm/SatDump/wxtoimg capture,Open-source,Full station orchestration; distinct from SatDump/WXtoImg alone
SatDump,Satellite / EME,Satellite SDR decode + Doppler (rig/rotor control),"Windows, macOS, Linux, Android, Raspberry Pi","Generic SDR satellite data processor/decoder (APT, LRPT, HRPT, LRIT/HRIT, telemetry) with a built-in tracker and scheduler.",Drives SDR hardware directly; optional Hamlib rigctld Doppler-corrected RX/TX tuning and rotctld rotator control during passes.,Open-source (GPL),Modern all-in-one for weather/telemetry sats; auto-Doppler on the pass.
SatPC32,Satellite / EME,Satellite/Doppler (rig + rotator control),Windows,"Real-time satellite tracking, pass prediction, and automatic Doppler tuning of TX/RX for SSB/CW/FM/digital birds; drives antenna rotators.","CAT rig control over serial/USB (sets RX & TX VFOs for Doppler, full-duplex), PTT, plus rotor control.","Donationware/Commercial (DK1TB, sold as AMSAT fundraiser)",De-facto Windows standard for LEO sat work; its Doppler.SQF frequency file is reused by PstRotator and others.
SatTrack,Satellite / EME,Satellite/Doppler (rig + rotor control),Windows,Feature-rich satellite tracker with a future-pass planner that controls station hardware.,Controls radios (CAT) and antenna rotors during passes.,Free,Modern Windows tracker (distinct from the old Unix SatTrack).
