Name,Category,Rig Control Backend,How to Set CAT,Audio Device Select,PTT Config,ALC/Power Guidance,Companion Needed,Notes,Verified,Source,Source URL,Source Note
Elecraft K3 / KX3 / K4 Utility,Programming / Codeplug,none as a logging CAT engine - it is a configuration/firmware utility that uses the rig's serial/USB (K3/KX3) or network (K4) link,"K3/KX3 Utility: connect over the serial/USB port (firmware download runs at 38400 baud; normal baud is set by the radio's CONFIG:RS232 menu). K4 Utility: connect by IP over the LAN. Then read/write configuration and memories/macros, use the Command Tester, and update firmware.",n/a - not a digital-mode/sound-card modem,n/a,n/a,an Elecraft KUSB / serial cable (or LAN for the K4),Firmware updates + configuration + memory/macro management; not a digital or logging app.,confirmed,Elecraft Firmware & Software / K3S-K3-KX3 Programmer's Reference,https://elecraft.com/pages/firmware-software,"Confirmed against Elecraft docs: the K3/KX3 Utility is a config/firmware tool over serial (38400-baud firmware download), the K4 Utility connects over the network; not a logging CAT engine and no audio/PTT."
EVE / Miklor programming helpers,Programming / Codeplug,"none - programming helpers (not CAT), via USB/serial cable",n/a - read/write memory channels; select the COM port (helper utilities/instructions around the factory CPS or CHIRP).,n/a,n/a,n/a,a programming cable (CH340/Prolific),Miklor.com community helper tools for Baofeng/TYT-class HTs.,confirmed,Miklor programming resources,https://www.miklor.com/,"Confirmed. Miklor (and EVE) provide programming helpers/guides for Chinese HTs; programming only, no CAT/audio/PTT."
FreeSCAN,Programming / Codeplug,"none - scanner programming (not CAT), via USB/serial",n/a - read/write the Uniden scanner's memory; select the COM port.,n/a,n/a (receive-only scanners),n/a,a Uniden programming cable,Free programming software for Uniden BC/BCD scanners.,confirmed,FreeSCAN (Uniden scanner programmer) documentation,,Confirmed. FreeSCAN is freeware for programming Uniden scanners over serial/USB; not transceiver CAT and no PTT.
"G4HFQ Programmers (FTBasicMMO, FTB7800/8800, VX Commander)",Programming / Codeplug,"none - memory programming/clone (not CAT), via serial/CAT-cable",n/a - read/write memory channels and settings; select the COM port; the radio is placed in clone mode.,n/a,n/a,n/a,a Yaesu programming/clone cable (CT-series/USB),"Bob Freeth G4HFQ Yaesu memory managers: FTBasicMMO (FT-817/857/897), FTB7800/8800, VX Commander (VX-series).",confirmed,G4HFQ Software (Bob Freeth),https://www.g4hfq.co.uk/,"Confirmed. Bob Freeth G4HFQ's programmers (FTBasicMMO, FTB7800/8800, VX Commander) read/write Yaesu memory/clone data over serial; no operating CAT, audio or PTT."
Hytera CPS,Programming / Codeplug,"none - codeplug programming only (not CAT), via USB",n/a - Read/Write the codeplug; select the USB/COM port.,n/a,n/a,n/a,a Hytera USB programming cable; model-matched CPS plus a separate tuner/firmware package,DMR codeplug; the tuner/alignment package is distinct from the CPS.,confirmed,Hytera Customer Programming Software documentation,,Confirmed. Hytera CPS reads/writes DMR codeplugs over USB; no CAT/audio/PTT.
Icom CS-xxxx Cloning Software,Programming / Codeplug,"none - clone read/write (not CAT), via USB/CI-V/serial",n/a - Clone > Read/Write; select the COM port. Writes the radio's memory + settings image.,n/a,n/a,n/a,"an Icom OPC/CI-V programming cable; a per-radio CS-xxxx version (e.g. CS-2300, CS-7300)",Reads/writes the memory and settings image for the specific Icom model.,confirmed,Icom CS cloning software documentation,,"Confirmed. Icom CS-xxxx cloning titles read/write the radio's memory image over CI-V/USB; no operating CAT, audio or PTT."
Icom RS-MS1A / RS-MS1I,Programming / Codeplug,"none as CAT - a D-STAR DR/repeater-list/memory management app, over USB (OPC data cable) or Bluetooth","n/a - the app (RS-MS1A on Android, RS-MS1I on iOS) reads/writes repeater lists, memories and DV/DR (FROM/TO) settings on the transceiver, and can import a repeater list from a PC.","n/a (RS-MS1A also adds DV data/picture/text features on some radios, but the programming role has no PC sound device)",n/a,n/a,"an OPC USB cable or Bluetooth (VS-3); a compatible Icom D-STAR radio (ID-51/52, IC-705, etc.)",Icom D-STAR companion app for repeater/DR/memory management.,confirmed,Icom RS-MS1A / RS-MS1I product pages,https://www.icomamerica.com/lineup/options/RS-MS1A/,"Confirmed against Icom product pages: RS-MS1A (Android) / RS-MS1I (iOS) manage D-STAR DR, repeater lists and memories over USB or Bluetooth; not CAT and no audio/PTT config."
k5prog / k5prog-win,Programming / Codeplug,"none - EEPROM/firmware programming (not CAT), via the Kenwood-style 2-pin cable (USB serial)",n/a - CLI: read/write the EEPROM and flash raw firmware to a Quansheng UV-K5; specify the serial port.,n/a,n/a,n/a,a Quansheng UV-K5 programming cable,"sq5bpf's tool for UV-K5 EEPROM backups, mass programming and RE; flashes RAW (unencrypted) firmware - vendor-encrypted images must be decrypted first.",confirmed,"k5prog (SQ5BPF, Jacek Lipkowski) GitHub",https://github.com/sq5bpf/k5prog,Confirmed. k5prog (SQ5BPF) reads/writes the UV-K5 EEPROM and flashes firmware over the serial cable; no CAT/audio/PTT.
K5TOOL,Programming / Codeplug,"none - EEPROM/firmware programming (not CAT), via USB serial cable","n/a - CLI: dump/restore EEPROM and flash firmware on the UV-K5; specify the serial port (read EEPROM in normal mode, flash in bootloader mode).",n/a,n/a,n/a,a Quansheng UV-K5/R5 programming cable,qrp73's toolkit; flashes firmware in the standard encrypted+checksummed format and verifies the checksum before writing.,confirmed,K5TOOL (Quansheng UV-K5) documentation,,Confirmed. K5TOOL is a UV-K5 EEPROM/firmware CLI utility over USB serial; no CAT/audio/PTT.
Kenwood KPG series (KPG-D),Programming / Codeplug,"none - codeplug programming (not CAT), via KPG cables",n/a - Read/Write the codeplug; select the USB/COM port.,n/a,n/a,n/a,a Kenwood KPG programming cable (e.g. KPG-22/36/46); a model-specific KPG-D FPU version,Kenwood commercial/LMR radio programming software; version is per radio model.,confirmed,Kenwood KPG FPU documentation,,"Confirmed. Kenwood KPG (e.g. KPG-D) commercial FPU software reads/writes codeplugs over the KPG cable; no operating CAT, audio or PTT."
Kenwood MCP series,Programming / Codeplug,none - programming/memory-control software only (not an operating CAT link),"n/a - not a CAT operating tool. In the MCP title (MCP-2A/5A/6A/D74 etc.) open Setup/COM Port, pick the radio's programming COM port + speed, then Program > Read From Transceiver / Write To Transceiver.",n/a (no audio path),n/a (no PTT),n/a (no transmit/ALC involvement),Kenwood USB/serial programming cable + driver,Separate MCP title per radio; only reads/writes memory channels and menu config.,confirmed,Kenwood MCP-2A/MCP-D74 instruction manual,,Confirmed. Kenwood MCP (Memory Control Program) reads/writes memories and menu settings over the programming port; it is not a CAT/operating tool.
KG-UV Commander,Programming / Codeplug,none - programming/codeplug only (not CAT),"n/a - not CAT. Select the Wouxun KG-UV programming-cable COM port, then Read from radio / Write to radio to edit memory channels and settings.",n/a,n/a,n/a,Wouxun/generic K-plug USB programming cable,Third-party editor for Wouxun KG-UV HTs; programming only.,confirmed,KG-UV Commander (Wouxun programmer) documentation,,Confirmed. KG-UV Commander is a Wouxun KG-UV memory programmer over the serial cable; no CAT/audio/PTT.
md380tools / md380-dfu,Programming / Codeplug,none - firmware/codeplug flashing only (not CAT),"n/a - not CAT. Put the TYT MD-380/390 into DFU (bootloader) mode, then use the md380-dfu CLI (upgrade/read/write) over USB; needs dfu-util/libusb.",n/a,n/a,n/a,USB programming cable + DFU mode; dfu-util/libusb,Patched-firmware flasher and raw codeplug read/write; no operating link.,confirmed,md380tools (Travis Goodspeed) GitHub,https://github.com/travisgoodspeed/md380tools,Confirmed. md380tools/md380-dfu flashes firmware/codeplugs to MD-380/390 over USB DFU; no CAT/audio/PTT.
Motorola CPS (RSS / CPS 2.0 / RadioCentral),Programming / Codeplug,none - programming/codeplug only (not CAT),"n/a - not CAT. Connect the radio, then Read (codeplug from radio) and Write (codeplug to radio); RadioCentral is entitlement/cloud-based. Use the correct CPS version + programming cable.",n/a,n/a,n/a,Motorola programming cable + matching CPS version/entitlements,Commercial-radio codeplug tool (channels/zones/talkgroups/features).,confirmed,Motorola Solutions CPS / RadioCentral documentation,,"Confirmed. Motorola RSS/CPS 2.0/RadioCentral read/write codeplugs over the programming cable; no operating CAT, audio or PTT."
N0GSG DMR Contact Manager,Programming / Codeplug,none - offline codeplug-file editor; does not touch the radio directly,"n/a - not CAT. Open the vendor codeplug file (.rdt/.rdb) exported from the manufacturer CPS, edit channels/contacts, save; the actual radio read/write is done back in the vendor CPS.",n/a,n/a,n/a,The matching vendor CPS + programming cable (to move the codeplug on/off the radio),Bulk contact/talkgroup import and codeplug editing across supported DMR radios.,confirmed,N0GSG DMR Contact Manager,https://n0gsg.com/,Confirmed. N0GSG Contact Manager edits codeplug files offline; the radio is programmed by the vendor CPS. No CAT/audio/PTT.
Odmaster (TIDRADIO),Programming / Codeplug,none - programming/codeplug only (not CAT),"n/a - not CAT. In the Odmaster phone app or Odmaster Web, pick the model and connect via the BL-1 Bluetooth adapter (or a USB cable), then Read/Write channels; can import CHIRP CSV; config is stored in a free cloud account.","n/a (the BL-1 also adds a BT PTT/mic feature, but Odmaster itself is programming only)",n/a,n/a,TIDRADIO BL-1 Bluetooth adapter or USB cable; free Odmaster account,Wireless/USB programming for Baofeng/TIDRADIO-class HTs; cloud sync.,confirmed,TIDRADIO Odmaster app documentation,https://www.tidradio.com/,"Confirmed. Odmaster (TIDRADIO) programs channels via BL-1 Bluetooth or USB (app/web, CHIRP CSV import); not a CAT tool."
OpenGD77 CPS (Community CPS),Programming / Codeplug,none - programming/codeplug + firmware only (not CAT),"n/a - not CAT. With the OpenGD77 driver installed and the radio powered on, use the CPS to Read/Write the codeplug and to flash firmware / write satellite data, voice prompts and the DMR-ID database over the serial link.",n/a,n/a,n/a,OpenGD77 serial driver + USB cable,For radios running OpenGD77 firmware (GD-77/RD-5R/DM-1801 etc.).,confirmed,OpenGD77 project / CPS documentation,https://www.opengd77.com/,"Confirmed. The OpenGD77 community CPS programs codeplugs and flashes firmware over USB; no operating CAT, audio or PTT."
OpenGD88 CPS,Programming / Codeplug,none - programming/codeplug + firmware only (not CAT),"n/a - not CAT. Connect over USB with the radio on, then Read/Write the OpenGD88 codeplug and flash firmware from the CPS.",n/a,n/a,n/a,USB cable + OpenGD88 serial driver,OpenGD88-firmware sibling of the OpenGD77 CPS.,confirmed,OpenGD88 project documentation,,Confirmed. OpenGD88 CPS reads/writes the codeplug and flashes firmware over USB; no CAT/audio/PTT.
OpenRTX + radio_tool,Programming / Codeplug,none - firmware/codeplug flashing only (not CAT),"n/a - not CAT. Put the radio in DFU/bootloader, then use radio_tool (CLI) to flash firmware images and codeplugs over USB DFU/serial (TYT MD-3x0/UV3x0/UV380, GD-77, DM-1801, etc.).",n/a,n/a,n/a,USB cable + DFU mode; dfu-util/libusb,Open-source firmware plus its flashing utility; no operating link.,confirmed,OpenRTX project / radio_tool documentation,https://openrtx.org/,"Confirmed. OpenRTX (open firmware) with radio_tool flashes firmware/codeplugs over USB DFU; no operating CAT, audio or PTT."
ProScan,Programming / Codeplug,"serial/USB control of a Uniden scanner (receiver control, not transceiver CAT)",n/a - use the CommPort menu at the top of the window and let Auto Detect find the Uniden scanner's USB/serial port; then upload/download the scanner memory and drive live scan/hold/logging (with a virtual front-panel display). No transceiver rig-model list.,n/a (the scanner uses its own speaker; ProScan can record/stream audio but has no sound-card modem path),n/a (receive-only scanner),n/a (no transmit),Uniden scanner USB/serial programming cable,Scanner control + programming + logging for Uniden BC/BCD scanners; listed under Programming but does live receive control too.,confirmed,ProScan (proscan.org),https://www.proscan.org/,"Confirmed against proscan.org: ProScan reads/writes and live-controls Uniden scanners over the auto-detected COM port; it is receiver control, not transceiver CAT, and has no PTT."
qdmr (and dmrconf),Programming / Codeplug,none - programming/codeplug only (not CAT),"n/a - not CAT. Connect the DMR radio, then in qdmr use Device > Detect / Read Codeplug / Write Codeplug; dmrconf is the CLI equivalent. It converts a portable YAML/text config into vendor-specific binary codeplugs.",n/a,n/a,n/a,DMR-radio USB cable + udev/driver (Linux/macOS/Windows),Vendor-independent codeplug tool for many AnyTone/TYT/Radioddity/BTECH radios.,confirmed,qdmr (Hannes Matuschek DM3MAT) documentation,https://dm3mat.darc.de/qdmr/,"Confirmed. qdmr (GUI) and dmrconf (CLI) read/write DMR codeplugs over USB; no operating CAT, audio or PTT."
Radioddity CPS,Programming / Codeplug,none - programming/codeplug only (not CAT),"n/a - not CAT. Select the programming-cable COM port, then Read/Write channels, zones, DMR contacts and talkgroups to the radio.",n/a,n/a,n/a,Radioddity USB programming cable,Per-model vendor CPS for Radioddity/BTECH radios.,confirmed,Radioddity CPS documentation,https://www.radioddity.com/,Confirmed. Radioddity CPS reads/writes codeplugs over the programming cable; no CAT/audio/PTT.
Retevis / Ailunce CPS,Programming / Codeplug,none - programming/codeplug only (not CAT),"n/a - not CAT. Choose the programming COM port, then Read/Write channels, zones, talkgroups and DMR contacts.",n/a,n/a,n/a,Retevis/Ailunce USB programming cable,"Per-model vendor CPS (e.g., Ailunce HD1, Retevis RT3S).",confirmed,Retevis / Ailunce CPS documentation,https://www.ailunce.com/,Confirmed. Retevis/Ailunce CPS reads/writes codeplugs over the programming cable; no CAT/audio/PTT.
RT Systems Radio Programmers,Programming / Codeplug,none - programming/memory management only (not CAT),"n/a - not CAT. Set the RT Systems USB cable's COM port (Comport Setup), then Communications > Get Data From Radio / Send Data To Radio to read/write memories and set-menu items. (For CI-V radios the radio's CI-V address must match and CI-V baud set to Auto.)",n/a,n/a,n/a,RT Systems' own USB cable (FTDI-based) or the radio's factory cable,Separate title per radio model; the cable is model-locked in some titles.,confirmed,RT Systems - Getting Started / Comport Setup,https://www.rtsystemsinc.com/comport-setup.html,"Confirmed against RT Systems docs: Communications menu Get/Send Data with the selected COM port; it is a memory programmer, not an operating CAT engine, and has no audio/PTT."
Scancat-Gold,Programming / Codeplug,native serial CAT to a receiver/scanner (AOR / Drake / Icom / Kenwood / JRC-NRD / Uniden / Yaesu) - receive control,"In the radio setup pick the receiver/scanner type + COM port + baud, then use it to tune/scan and log frequencies (and read radio memories on supported sets). Optional squelch-detect serial adapters give stop-on-signal on some Icom/Yaesu.",n/a (uses the receiver's own audio; no sound-card modem role),n/a (receive control only),n/a (no transmit),Serial/USB cable to the receiver; optional squelch-detect adapter,Legacy 16-bit 'all-in-one' receiver control + frequency logging/scanning; not a transmit or programming-cable tool in the CPS sense.,confirmed,Scancat-Gold (Computer Aided Technologies / scancat.com),http://www.scancat.com/featured-products/scancat-gold.html,"Confirmed against scancat.com: Scancat-Gold is legacy receiver-control software with native serial CAT to AOR/Icom/Kenwood/JRC/Uniden/Yaesu receivers; receive-only, no PTT."
Tait Programming Application (TPA),Programming / Codeplug,none (programming/codeplug only),"Not CAT. Connect the Tait radio, then Read/Program the codeplug/database; requires the correct feature/CSS license for the radio family.",n/a,n/a,n/a,Tait programming cable + CSS/feature licensing,Commercial LMR programming for Tait fleets.,confirmed,Tait Communications (TPA / CSS programming documentation),,"Verified as a fleet/codeplug programming tool, not an operating-CAT client; all n/a fields correct."
TYT CPS,Programming / Codeplug,none (programming/codeplug only),"Not CAT. Select the programming COM port, then Read/Write the DMR/analog codeplug plus contact and zone lists.",n/a,n/a,n/a,TYT USB programming cable,Per-model vendor CPS for TYT MD-series radios.,confirmed,TYT customer programming software (tyt888.com) documentation,http://www.tyt888.com/,
uBITX Manager,Programming / Codeplug,none (configuration/calibration utility over serial; the rig's operating CAT is separate),"Not an operating CAT link. Select the Raduino/Nano USB serial COM port + baud, then read settings, run the Calibration Wizard (KD8CEC firmware), adjust Master/BFO cal, and write back to EEPROM.",n/a,n/a (rig PTT is mic/manual),n/a,USB cable to the uBITX Raduino (Arduino Nano); KD8CEC firmware,Backup calibration values before changing; the uBITX still presents its own CAT to logging/digital apps independently of this tool.,confirmed,KD8CEC uBITX Manager / firmware documentation,https://github.com/phdlee/ubitx,
Uniden Sentinel,Programming / Codeplug,none (firmware + database/profile management only),"Not CAT. Put the Uniden scanner in Mass Storage mode over USB, then Sentinel updates firmware and manages the scanner's RRDB database/Favorites Lists/profiles on the SD card (Write to Scanner).",n/a,n/a,n/a,USB cable (scanner in mass-storage mode),For Uniden HomePatrol/SDS/BCD scanners.,confirmed,RadioReference Wiki: Sentinel (Uniden software) / Uniden Support,https://wiki.radioreference.com/index.php/Sentinel_(Uniden_software),
UV-K5 Web Flasher / EEPROM Configurator,Programming / Codeplug,none (firmware + EEPROM/settings only),"Not CAT. Open the WebSerial page in Chrome/Edge, click Connect and pick the radio's COM port, then flash firmware and read/write the EEPROM/settings directly in the browser.",n/a,n/a,n/a,USB programming cable + a WebSerial-capable browser (Chrome/Edge),Browser-based tooling for Quansheng UV-K5/K6 custom firmware.,confirmed,"Quansheng UV-K5 community WebSerial flasher/EEPROM tools (e.g. whosmatt/uvmod, ludwich66 wiki)",,"Community tools; no single 'official' vendor manual, but the described WebSerial flash/EEPROM workflow is accurate."
Vertex Standard CE / VX Programming Software,Programming / Codeplug,none (programming/codeplug only),"Not CAT. Connect via the FIF-12 or USB programming interface, select the COM port, then Read/Write the radio codeplug.",n/a,n/a,n/a,FIF-12 / USB programming interface cable,Vertex Standard commercial CE programming titles.,confirmed,Vertex Standard / Motorola Solutions CE programming software documentation,,
WCS-xxxx (RT Systems Icom titles),Programming / Codeplug,none (programming/codeplug only),"Not CAT. Select the RT Systems USB cable's COM port, then Communications > Get/Send to read/write Icom memories and settings (radio cloning / CI-V).",n/a,n/a,n/a,RT Systems USB cable (or an Icom CI-V/CT-17 interface),RT Systems programmer titles for Icom radios (WCS-xxxx naming).,confirmed,RT Systems radio programming software,https://www.rtsystemsinc.com/,"WCS = RT Systems' Icom programmer line; confirmed as clone/memory read-write, not operating CAT."
Whistler EZ Scan (WS Software),Programming / Codeplug,none (programming + firmware only),"Not CAT. Connect the Whistler scanner (USB/SD card), then manage the codeplug/objects and update firmware.",n/a,n/a,n/a,USB cable / SD card for the Whistler scanner,Whistler WS/TRX-series scanner programming.,confirmed,Whistler Group EZ Scan (WS) software documentation,https://www.whistlergroup.com/,
Wouxun CPS (KG-UV series),Programming / Codeplug,none (programming/codeplug only),"Not CAT. Select the programming-cable COM port, then Read/Write memory channels and settings.",n/a,n/a,n/a,Wouxun USB programming cable,Official Wouxun CPS for KG-UV HTs; programming only.,confirmed,Wouxun KG-UV CPS documentation,http://www.wouxun.com/,
Xiegu firmware/config tools (XigFW / G-series updater),Programming / Codeplug,none (firmware flashing + configuration only),"Not CAT. Put the Xiegu radio (G90/X6100/X6200 etc.) in its flash/DFU mode, connect over USB, then run the updater to flash firmware/config.",n/a,n/a,n/a,USB cable + flash/DFU mode (model-specific updater),Vendor firmware/config utilities; the radios' operating CAT is handled elsewhere (Hamlib).,confirmed,Xiegu / Radioddity firmware update guides,https://xiegu.eu/,
Yaesu ADMS (factory series),Programming / Codeplug,none (programming/codeplug only),"Not CAT. Settings > select the SCU-/CT- cable COM port, then Communications > Get Data From Radio / Send Data To Radio (clone read/write of memories and set-menu items).",n/a,n/a,n/a,Yaesu SCU-xx / CT-xx factory programming cable,Per-model Yaesu ADMS clone software.,confirmed,Yaesu ADMS programming software documentation,https://www.yaesu.com/,
Airspy SpyServer,Rig control core / Remote,none — controls the local Airspy/RTL-SDR hardware and streams IQ over the network; no transceiver CAT,"No rig CAT. Edit spyserver.config (device_type/serial, bind_host, bind_port default 5555, gain/decimation); clients connect to that IP:port. Tuning is done in the SDR client, not via CAT.","n/a — SpyServer streams IQ, not soundcard audio; the client (SDR#/SDR++/SDRangel) demodulates",n/a (receive-only SDR server),n/a (no transmit),An SDR# / SDR++ / SDRangel client to connect to the SpyServer; a Virtual Audio Cable on the client if feeding a digital-mode app,"Server-side of the Airspy ecosystem; sync a real rig only via the client's own OmniRig, not here.",confirmed,Airspy SpyServer documentation / airspy groups.io wiki,https://airspy.com/quickstart/,bind_port default 5555 confirmed in spyserver.config.
AOR control software (ARC/AR-family),Rig control core / Remote,native AOR serial CAT (receiver control),"Select the AOR receiver's COM port + baud in the ARC title, then tune/scan and manage memories (AR5000/AR-DV1/AR-One etc.).",n/a (receiver audio; no soundcard-modem role),n/a (receivers),n/a (no transmit),AOR serial/USB control cable,Receiver-control/monitoring software; receive only.,confirmed,AOR / Butel ARC receiver control software,https://www.aorusa.com/,The ARC-series titles are authored by Butel for AOR receivers; serial receiver-control description is accurate.
ARSVCOM,Rig control core / Remote,none — EA4TX antenna-rotator control (not a radio/CAT device),"No radio CAT. Set the ARS-USB interface's COM/USB port (the driver makes a virtual COM), or use UDP/network sharing; then calibrate rotator limits. The virtual port emulates a Yaesu GS-232A (default) and can emulate other rotator drivers.",n/a,n/a,n/a,EA4TX ARS-USB (or Prosistel 'D') rotator interface; runs alongside satellite/contest trackers,"Rotator calibration/control utility, not a transceiver tool.",confirmed,EA4TX ARS-USB documentation (ea4tx.com),https://ea4tx.com/en/products-page/ars-usb/,GS-232A default emulation confirmed on EA4TX site; the specific UDP port 12040 was not documented on the official site (plausible but unverified).
CalicoCAT,Rig control core / Remote,virtual-serial CAT emulation (Kenwood TS-2000 command set) via com0com — inside SDR#,"In SDR#, open the CalicoCat panel, select one of the com0com virtual COM ports at 19200 8N1 and enable CAT; the partner app (WSJT-X/logger) opens the paired virtual COM and is configured as a Kenwood TS-2000.","n/a in-plugin — route SDR#'s audio to the digital app with a Virtual Audio Cable (e.g., VB-Cable)",n/a (receive; SDR# doesn't transmit),n/a (no transmit/ALC),"SDR#, a com0com virtual serial pair, and a VAC for audio; optionally points at a real radio to keep it synced with SDR#","Bridges SDR# tuning to other apps over CAT, or slaves a real rig to SDR#'s tuning.",confirmed,CalicoCat SDR# CAT Plugin Guide (rtl-sdr.com),https://www.rtl-sdr.com/calicocat-new-serial-cat-control-plugin-for-sdr/,"TS-2000 emulation, 19200 8N1, com0com pair all confirmed."
Cloud-SDR / CloudIQ software,Rig control core / Remote,none — controls an RFSpace networked SDR (Cloud-IQ/CloudSDR) over Ethernet; no transceiver CAT,No rig CAT. Connect to the SDR by its IP; choose IQ-streaming mode (SpectraVue/SDR-Radio/SDR#/GNU Radio) or the built-in 'Cloud' server mode (radio tunes/demodulates and streams to remote clients); mode is switched with the CloudSetup app; set sample-rate/gain.,"n/a — streams IQ (UDP) or demodulated data over the network, not a soundcard",n/a (receive-only SDR),n/a (no transmit),SpectraVue or an SDR client (SDR Console/SDR#); optional Virtual Audio Cable for digital modes,"RFSpace Cloud-IQ (0.009–56 MHz, 24-bit) / CloudSDR remote SDR software.",confirmed,RFSpace Cloud-IQ / CloudSDR User Guide (rfspace.com),http://www.rfspace.com/RFSPACE/CloudSDR.html,Description matches the RFSpace Cloud-IQ/CloudSDR receivers and their SpectraVue/CloudSetup control (not F4GKR's separately-named 'Cloud-SDR' software).
Commander (DXLab),Rig control core / Remote,native multi-brand CAT/CI-V (also acts as the DXLab CAT hub),"Configuration > Ports > set the Primary CAT serial port (radio model/COM/baud/word/parity/stop, + CI-V address for Icom); a Secondary CAT port lets other DXLab apps (SpotCollector, WinWarbler) and third-party apps tune through Commander.",n/a (control only; digital audio handled by WinWarbler/other apps),"PTT via CAT, or via a DTR/RTS pin selected on the PTT tab",n/a (Commander sets freq/mode/split; drive/ALC set on the radio or in the digital app),Standalone hub within DXLab Suite; other DXLab/3rd-party apps slave to it,Same program as 'DXLab Commander'; the CAT engine for the whole DXLab Suite.,confirmed,DXLab Suite Commander Help — Configuration,https://www.dxlabsuite.com/commander/Help/Configuration.htm,
DDUtil,Rig control core / Remote,reads a radio (PowerSDR CAT or serial CAT) and re-shares band/frequency data to multiple apps/devices via virtual serial ports,"Ports tab > pick the Radio CAT port pair (e.g., PowerSDR on COM11 <-> DDUtil COM10 made with VSP Manager/VSPE); set band-data outputs (BCD/USB) and the Passive Listener port for SteppIR/tuners/slave radios.","n/a (control/band-data director, not audio)",Keys amplifiers/relays/antenna switches via band-data and accessory outputs (not mic PTT),n/a (drive/ALC set in PowerSDR/on the radio),PowerSDR/FlexRadio + a virtual serial port program (VSP Manager or VSPE),'Device Director' utility that lets one radio drive many frequency-following accessories/apps.,confirmed,"DDUtil V3 Wiki (K5FR, Steve Nance)",https://k5fr.com/DDUtilV3wiki/index.php?title=Main_Page,
DXLab Commander,Rig control core / Remote,native multi-brand CAT/CI-V; DXLab's shared CAT hub,Configuration > Ports > choose radio model + COM port + baud (+ CI-V address); enable a Secondary CAT port so SpotCollector and other DXLab/3rd-party apps tune the rig through Commander.,n/a (control only),PTT via CAT or a chosen DTR/RTS pin,n/a (set drive/ALC on the radio or in the digital app),Standalone within DXLab Suite; other apps share the rig through it,The CAT engine shared by all DXLab apps; identical to the 'Commander (DXLab)' entry.,confirmed,DXLab Suite Commander Help — Configuration,https://www.dxlabsuite.com/commander/Help/Configuration.htm,Same product as 'Commander (DXLab)'.
EA4TX ARSWIN / ARS-USB software,Rig control core / Remote,none — EA4TX antenna-rotator control (serial/USB),No radio CAT. Set the ARS-USB interface COM/USB port + rotator limits/calibration; provides DDE to loggers (Logger32/HRD) for click-to-turn.,n/a,n/a,n/a,EA4TX ARS-USB rotator interface,"Rotator control, not a transceiver tool.",confirmed,EA4TX ARS-USB / ARS programs documentation,https://ea4tx.com/en/products-page/ars-usb/ars-programs/,
flrig,Rig control core / Remote,standalone rig-control server using flrig's own native rig drivers; exposes an XML-RPC server (default port 12345) so fldigi/WSJT-X share the rig,"Config > Setup > Transceiver > select Rig, Serial/Update port, Baud, stop bits and RTS/CTS flow; PTT tab sets the keying method. Other apps then choose 'flrig' as their rig (TCP 127.0.0.1:12345).",n/a (control only; audio is set in fldigi/WSJT-X),"PTT via CAT, RTS/DTR, or a separate serial line, chosen on the PTT tab",Set the radio to DATA/USB-D and raise TX audio in the digital app until desired RF out with ALC barely moving (keep ALC low),"Standalone; fldigi selects it in Rig Control, WSJT-X can use it, and any app can hit XML-RPC localhost:12345",Companion CAT server most commonly paired with fldigi.,confirmed,flrig Help — Configure XmlRpc Server (w1hkj.org),https://www.w1hkj.org/flrig-help/xmlrpc_server.html,XML-RPC default port 12345 confirmed.
FRStack,Rig control core / Remote,FlexRadio SmartSDR TCP/IP API (no COM port / no rig model),"No serial CAT. FRStack discovers the Flex on the LAN via the SmartSDR API; expose a REST port (default 13522, localhost-only by default with an IP whitelist) for Stream Deck/web/macro control and read/set slice freq, mode, TX and keying.","n/a (audio handled by SmartSDR DAX, not FRStack)",TX/keying issued through the SmartSDR API (no serial PTT line),TX drive/power is set with the SmartSDR power slider; the Flex manages ALC internally,A FlexRadio 6000/8000-series + SmartSDR; optional Elgato Stream Deck,"Companion automation/accessory controller for FlexRadio (amps, SteppIR, macros).",confirmed,FRStack REST/WebAPI docs (FlexRadio Community),https://community.flexradio.com/discussion/8023242/,"REST default port 13522 (configurable in FRStack.exe.config, localhost-only by default) confirmed."
FT-817 Commander,Rig control core / Remote,native Yaesu CAT (serial),Select the FT-817/818/857/897 COM port + baud (4800 or 38400 per the radio's menu) in the app; controls VFO/mode/PTT.,n/a (control only),PTT via the Yaesu CAT command (CAT and PTT share the single COM port),n/a (set power/drive on the radio; use the digital app's audio level for ALC on data modes),CAT cable (CT-62 / USB-serial) for the FT-8x7,Lightweight dedicated controller for Yaesu FT-8x7 radios.,confirmed,FT-817 Commander (DXZone listing / program docs),https://www.dxzone.com/dx6443/ft-817-commander.html,
Green Heron Everyware,Rig control core / Remote,none — Green Heron antenna-rotator controller software (serial/network),No radio CAT. Point it at the Green Heron RT-21 controller's COM port or network (GH Everyware Server manages shared/networked access); provides DDE/network to loggers for point-and-shoot rotator control.,n/a,n/a,n/a,Green Heron RT-21 (or compatible) rotator controller,"Rotator control, not a transceiver tool.",confirmed,Green Heron Engineering — Rotator Controllers Software,https://www.greenheronengineering.com/rotator-controllers-software/,
