Manufacturer,Model,Type,Bands,Connection Method,CAT Protocol,Baud,Data Bits,Stop Bits,Parity,Flow Control,CI-V Address,Built-in Sound Card,Recommended Interface,PTT Method,Radio Menu Settings,Cable/Port,Notes,Verified,Source,Source URL,Source Note
Kenwood / Trio,TR-50,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); crystal channels on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7010,2m SSB portable,2m,No CAT. SSB-capable — digital via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + external-speaker jack,"Vintage 2m SSB portable — usable for digital via AFSK, but no rig control.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7100,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7200 / TR-7200G,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7400A,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7500,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-751A / TR-751E,2m all-mode mobile,2m,No CAT. All-mode (SSB/CW/FM) 2m — digital via an outboard sound-card interface into the mic/ACC jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/ACC cable + ext-speaker (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no standard CAT); tune manually.,Mic connector + ACC jack + external-speaker jack,2m all-mode mobile — good for SSB/CW/FM digital; no standard serial rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7600,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7625,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7730,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7800,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7850,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7930,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-7950,2m FM mobile,2m,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 2m FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-8000,70cm FM mobile,70cm,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 70cm FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-8200,70cm FM mobile,70cm,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 70cm FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-8300,70cm FM mobile,70cm,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 70cm FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-8400,70cm FM mobile,70cm,No CAT. Digital/packet via an outboard sound-card interface into the mic/speaker jacks; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/speaker cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); channel selected on the radio.,Mic connector + external-speaker jack,Vintage 70cm FM mobile; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-851A / TR-851E,70cm all-mode mobile,70cm,No CAT. All-mode (SSB/CW/FM) 70cm — digital via an outboard sound-card interface into the mic/ACC jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/ACC cable + ext-speaker (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no standard CAT); tune manually.,Mic connector + ACC jack + external-speaker jack,70cm all-mode mobile — good for SSB/CW/FM digital; no standard serial rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-9000 / TR-9000G,2m all-mode mobile,2m,No CAT. All-mode (SSB/CW/FM) 2m — digital via an outboard sound-card interface into the mic/ACC jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/ACC cable + ext-speaker (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + ACC jack + external-speaker jack,2m all-mode mobile — SSB/CW/FM digital OK; no serial rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-9130,2m all-mode mobile,2m,No CAT. All-mode (SSB/CW/FM) 2m — digital via an outboard sound-card interface into the mic/ACC jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/ACC cable + ext-speaker (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + ACC jack + external-speaker jack,2m all-mode mobile — SSB/CW/FM digital OK; no serial rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-9300,6m all-mode mobile,6m,No CAT. All-mode (SSB/CW/FM) 6m — digital via an outboard sound-card interface into the mic/ACC jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/ACC cable + ext-speaker (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + ACC jack + external-speaker jack,6m all-mode mobile — SSB/CW/FM digital OK; no serial rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TR-9500,70cm all-mode mobile,70cm,No CAT. All-mode (SSB/CW/FM) 70cm — digital via an outboard sound-card interface into the mic/ACC jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/ACC cable + ext-speaker (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + ACC jack + external-speaker jack,70cm all-mode mobile — SSB/CW/FM digital OK; no serial rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-120S / TS-120V,HF transceiver,HF 80-10m,No CAT. HF SSB/CW — digital via an outboard sound-card interface into the mic/patch/ACC jack; PTT by VOX or interface keying. Frequency set manually on the analog VFO.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch / ACC jack,Late-1970s HF transceiver; predates CAT — no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-130S / TS-130SE / TS-130V,HF transceiver,HF 80-10m + WARC,No CAT. HF SSB/CW — digital via an outboard sound-card interface into the mic/patch/ACC jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch / ACC jack,Early-1980s HF transceiver; predates CAT — no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-140S,HF transceiver,HF 160-10m + WARC,Kenwood serial CAT through an IF-232C level converter (or a modern USB-to-IF-232C cable) on the ACC1 port; for digital-mode audio add a Digirig into the ACC/mic jack.,Kenwood,4800,8,2,None,None,n/a,No,IF-232C level converter (requires internal IF-10 board) / USB-to-IF-232C CAT cable + Digirig Mobile for audio (SignaLink audio alt.),"CAT, or Digirig RTS / ACC PTT line",No software menu; CAT is fixed 4800 baud. Requires IF-232C level converter (radio ACC1 is TTL-level).,6-pin DIN ACC1 (CAT via IF-232C → RS-232 DB9 to PC) + ACC/mic audio,"HF transceiver with computer control via IF-232C at 4800 baud. If no reply, try 2 stop bits (older firmware). Hamlib model 'TS-140S'.",corrected,"Hamlib rig capabilities (ts680.c / ts440.c, same IF-232C generation as TS-140S)",https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts680.c,"Stop bits corrected 1 -> 2. The TS-140S has no dedicated Hamlib backend, but it shares the IF-232C/IF-10 CAT interface generation with the TS-680S (its 6m-added sibling) and TS-440S, both of which Hamlib specifies as 4800 baud, 8 data, 2 stop bits, no parity. Older Kenwoods of this era use 2 stop bits."
Kenwood / Trio,TS-180S / TS-180V,HF transceiver,HF 160-10m,No CAT. HF SSB/CW — digital via an outboard sound-card interface into the mic/patch/ACC jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch / ACC jack,1979 HF transceiver (digital display) but no serial CAT — no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-2000 / TS-2000X,HF/VHF/UHF all-mode transceiver,HF+6m+2m+70cm (X adds 23cm),Kenwood serial CAT over the built-in RS-232 (DB9) port via a USB-to-serial cable; add a Digirig into ACC2 for digital-mode audio.,Kenwood,"9600 (default, menu 56; selectable up to 57600)",8,1,None,None,n/a,No,USB-to-RS-232 (straight-through DB9) cable + Digirig Mobile (audio via ACC2 13-pin DIN); SignaLink alt.,"CAT (PTT via CAT), or Digirig RTS / ACC2 PTT line","Menu 55 = PC/TNC control select; Menu 56 = serial baud (9600 default, 57600 supported).",DB9 RS-232 (rear) for CAT + ACC2 13-pin DIN for audio,"HF/6m/2m/70cm all-mode (X adds 23cm). Built-in serial, no USB audio codec — use Digirig for digital audio. Hamlib model 'TS-2000'.",confirmed,Hamlib rig capabilities (ts2000.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts2000.c,"Confirmed against Hamlib ts2000 backend: 1200-115200 baud (radio menu 56 default 9600, up to 57600), 8/1/None, hardware handshake. Built-in true RS-232 (DB9). Note the DB9 needs RTS/CTS wired (hardware flow control)."
Kenwood / Trio,TS-2000LE,HF/VHF/UHF all-mode transceiver,HF+6m+2m+70cm,Kenwood serial CAT over the built-in RS-232 (DB9) port via a USB-to-serial cable; add a Digirig into ACC2 for digital-mode audio.,Kenwood,"9600 (default, menu 56; selectable up to 57600)",8,1,None,None,n/a,No,USB-to-RS-232 (straight-through DB9) cable + Digirig Mobile (audio via ACC2 13-pin DIN); SignaLink alt.,"CAT (PTT via CAT), or Digirig RTS / ACC2 PTT line","Menu 55 = PC/TNC control select; Menu 56 = serial baud (9600 default, 57600 supported).",DB9 RS-232 (rear) for CAT + ACC2 13-pin DIN for audio,Limited-edition HF/6m/2m/70cm all-mode; same CAT as TS-2000. No USB audio codec — Digirig for digital audio.,confirmed,Hamlib rig capabilities (ts2000.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts2000.c,"Limited edition of the TS-2000; identical CAT interface. Confirmed via Hamlib ts2000 backend: default 9600 (up to 57600), 8/1/None, hardware handshake, built-in RS-232."
Kenwood / Trio,TS-430S,HF transceiver,HF 160-10m + WARC,No CAT. HF SSB/CW — digital via an outboard sound-card interface into the mic/patch/ACC jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch / ACC jack,1983 HF transceiver; predates Kenwood CAT (the TS-440S was first) — no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-440S / TS-440SAT,HF transceiver,HF 160-10m + WARC,Kenwood serial CAT through an IF-232C level converter (requires the internal IC-10 kit); for digital-mode audio add a Digirig into the ACC/mic jack.,Kenwood,4800 (jumper-selectable 1200),8,2,None,None,n/a,No,IF-232C level converter (requires internal IF-10 board) / USB-to-IF-232C CAT cable + Digirig Mobile for audio (SignaLink audio alt.),"CAT, or Digirig RTS / ACC PTT line",No software menu; requires internal IC-10 board fitted. CAT 4800 baud (change to 1200 via jumper W50 if needed).,ACC-1 (CAT via IF-232C → RS-232 DB9 to PC) + ACC/mic audio,"Kenwood's first CAT rig. Needs IC-10 module + IF-232C level converter. If no reply, try 2 stop bits. Hamlib model 'TS-440S'.",corrected,Hamlib rig capabilities (ts440.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts440.c,Stop bits corrected 1 -> 2 (Hamlib ts440 backend specifies 2 stop bits). Baud 1200-4800 confirmed. Requires internal IF-10 board + IF-232C level converter.
Kenwood / Trio,TS-450S / TS-450SAT,HF transceiver,HF 160-10m + WARC,Kenwood serial CAT through an IF-232C level converter (or a modern USB-to-IF-232C cable); for digital-mode audio add a Digirig into the ACC2/mic jack.,Kenwood,4800,8,2,None,None,n/a,No,USB-to-IF-232C CAT cable + Digirig Mobile for audio via ACC2 (SignaLink audio alt.),"CAT, or Digirig RTS / ACC2 PTT line",No software menu; CAT fixed 4800 baud. Radio ACC is TTL-level — needs IF-232C level converter.,6-pin DIN (CAT via IF-232C → RS-232 to PC) + ACC2 13-pin DIN for audio,"HF transceiver, computer control via IF-232C at 4800 baud. Hamlib model 'TS-450S'.",corrected,Hamlib rig capabilities (ts450s.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts450s.c,"Stop bits corrected 1 -> 2 (Hamlib ts450s backend: 1200-4800 baud, 8/2/None, hardware handshake). Note it uses hardware flow control (RTS/CTS must be wired)."
Kenwood / Trio,TS-480HX,HF/6m mobile transceiver,HF 160-10m + 6m,Kenwood serial CAT over the built-in COM port (6-pin mini-DIN) via a Kenwood serial cable; add a Digirig into ACC2 for digital-mode audio.,Kenwood,9600 (default; selectable up to 57600),8,1,None,None,n/a,No,Kenwood COM (mini-DIN)-to-USB/serial cable + Digirig Mobile (audio via ACC2 13-pin DIN); SignaLink alt.,"CAT (PTT via CAT), or Digirig RTS / ACC2 PTT line","Set COM-port baud in menu (default 9600, up to 57600). Use ACC2 for digital audio; select DATA/PKT as needed.",6-pin mini-DIN COM (to DB9/USB) for CAT + ACC2 13-pin DIN for audio,"HF/6m mobile (100W dual-supply). Built-in serial, no USB audio codec — use Digirig. Hamlib model 'TS-480'.",confirmed,Hamlib rig capabilities (ts480.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts480.c,"Confirmed against Hamlib ts480 backend: 4800-115200 baud (radio default 9600, up to 57600), 8/1/None, no hardware handshake. No built-in codec."
Kenwood / Trio,TS-480SAT,HF/6m mobile transceiver,HF 160-10m + 6m,Kenwood serial CAT over the built-in COM port (6-pin mini-DIN) via a Kenwood serial cable; add a Digirig into ACC2 for digital-mode audio.,Kenwood,9600 (default; selectable up to 57600),8,1,None,None,n/a,No,Kenwood COM (mini-DIN)-to-USB/serial cable + Digirig Mobile (audio via ACC2 13-pin DIN); SignaLink alt.,"CAT (PTT via CAT), or Digirig RTS / ACC2 PTT line","Set COM-port baud in menu (default 9600, up to 57600). Use ACC2 for digital audio; select DATA/PKT as needed.",6-pin mini-DIN COM (to DB9/USB) for CAT + ACC2 13-pin DIN for audio,"HF/6m mobile (100W, built-in ATU). Built-in serial, no USB audio codec — use Digirig. Hamlib model 'TS-480'.",confirmed,Hamlib rig capabilities (ts480.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts480.c,"Same CAT interface as TS-480HX. Confirmed via Hamlib ts480 backend: default 9600 (up to 57600), 8/1/None, no hardware handshake."
Kenwood / Trio,TS-50S,HF mobile transceiver,HF 160-10m + WARC,Kenwood serial CAT through an IF-232C level converter (or a modern USB-to-IF-232C cable); for digital-mode audio add a Digirig into the ACC/mic jack.,Kenwood,4800,8,2,None,None,n/a,No,USB-to-IF-232C CAT cable + Digirig Mobile for audio (SignaLink audio alt.),"CAT, or Digirig RTS / ACC PTT line",No software menu; CAT fixed 4800 baud. ACC is TTL-level — needs IF-232C level converter.,6-pin DIN ACC (CAT via IF-232C → RS-232 to PC) + ACC/mic audio,Compact HF mobile; computer control via IF-232C at 4800 baud. Hamlib model 'TS-50S'.,corrected,Hamlib rig capabilities (ts50s.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts50s.c,Stop bits corrected 1 -> 2 (Hamlib ts50s backend: 8/2/None). Baud default 4800 (Hamlib range 1200-57600). Requires IF-232C level converter.
Kenwood / Trio,TS-510,HF transceiver,HF 80-10m,No CAT. HF SSB/CW (tube) — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch jack,1970s tube HF transceiver; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-511S,HF transceiver,HF 80-10m,No CAT. HF SSB/CW (tube) — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch jack,1970s tube HF transceiver; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-515 / TS-515S,HF transceiver,HF 80-10m,No CAT. HF SSB/CW (tube) — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch jack,1970s tube HF transceiver; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-520 / TS-520D,HF transceiver,HF 80-10m,No CAT. HF SSB/CW (hybrid tube-finals) — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually (adjust PLATE/LOAD).,Mic connector + phone-patch jack,Classic 1970s hybrid HF transceiver; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-520S,HF transceiver,HF 80-10m,No CAT. HF SSB/CW (hybrid tube-finals) — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually (adjust PLATE/LOAD).,Mic connector + phone-patch jack,Classic 1970s hybrid HF transceiver; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-530S / TS-530SP,HF transceiver,HF 160-10m + WARC,No CAT. HF SSB/CW (hybrid tube-finals) — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually (adjust PLATE/LOAD).,Mic connector + phone-patch jack,Early-1980s hybrid HF transceiver (WARC bands); predates CAT — no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-570D / TS-570D(G),HF transceiver,HF 160-10m + WARC,Kenwood serial CAT over the built-in RS-232 (DB9) port using a USB-to-serial cable (no external level converter needed); add a Digirig into ACC2 for digital-mode audio.,Kenwood,9600 (default; selectable up to 57600),8,1,None,RTS/CTS (RTS must be asserted for the radio to reply),n/a,No,USB-to-RS-232 cable + Digirig Mobile (audio via ACC2 13-pin DIN); SignaLink alt.,"CAT (PTT via CAT), or Digirig RTS / ACC2 PTT line","Menu 35 = COM baud (default 9600, up to 57600). Use ACC2 for digital audio; select DATA/PKT as needed.","DB9 RS-232 (rear, built-in) for CAT + ACC2 13-pin DIN for audio",First Kenwood with a built-in RS-232 (no IF-232C needed). No USB audio codec — use Digirig. Hamlib model 'TS-570D'.,confirmed,Hamlib rig capabilities (ts570.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts570.c,"Confirmed against Hamlib ts570 backend: 1200-57600 baud (radio default 9600), 8/1/None, hardware handshake. Built-in RS-232; RTS/CTS wiring needed. Menu number not independently re-verified."
